lead_id,created_at,customer_id,company_name_raw,industry_raw,province_raw,source_channel_raw,campaign_id,product_interest_id,inquiry_type,company_size_band,pages_viewed_30d,form_completeness_pct,requested_quote_flag,requested_sample_flag,budget_status,purchase_timeline_days,assigned_sales_id,lifecycle_status_raw,lost_reason_raw,expected_value_vnd,email,phone
L000001,2025-01-06 11:12:00,C0053,Health Lab JSC,Pharmaceutical,Bac Ninh,Google Ads,MC001,P001,Sample Request,10-49,2,97,0,0,Approved,30,E101,Won,,34940000.0,health1@company.vn,0956488932
L000002,2025-01-08 16:11:00,C0139,Asia Scientific Vietnam,Laboratory,Ho Chi Minh City,Google Ads,MC001,P016,Distributor Inquiry,10-49,7,78,1,0,Approved,60,E103,Disqualified,No Response,27580000.0,asia2@company.vn,0920637253
L000003,2025-01-17 08:02:00,C0005,Med Asia Vietnam,Industrial Manufacturing,Ho Chi Minh City,Google ads,MC001,P023,Stock Check,10-49,5,80,0,1,Approved,14,E102,Qualified,Competitor,24850000.0,med3@company.vn,0948309937
L000004,2025-01-19 10:01:00,C0034,Green Lab Co Ltd,Medical Device,Da Nang,Google Ads,MC001,P002,Price Request,50-249,1,63,1,0,Approved,60,E103,Won,,3100000.0,green4@company.vn,0937320289
L000005,2025-01-23 09:36:00,C0023,Bio Precision JSC,Electronics,Dong Nai,Google Ads,MC001,P003,Stock Check,50-249,1,66,0,0,Unknown,7,E102,Qualified,Price,21140000.0,bio5@company.vn,0913307640
L000006,2025-01-29 12:17:00,C0002,Scientific Advanced Vietnam,Food & Beverage,Hanoi,Google Ads,MC001,P001,Stock Check,1000+,1,63,0,0,Unknown,180,E103,Disqualified,Not ICP,18780000.0,scientific6@company.vn,0941455184
L000007,2025-01-30 11:28:00,C0011,Asia Vietnam JSC,pharmaceutical,Ho Chi Minh City,Google Ads,MC001,P001,Technical Inquiry,250-999,2,62,0,0,Approved,30,E102,Disqualified,No Response,16310000.0,,0974796603
L000008,2025-01-31 08:57:00,,Health Lab JSC,Pharmaceutical,BacNinh,Google Ads,MC001,P001,Product Recommendation,10-49,6,70,0,0,Unknown,60,E103,Disqualified,No Budget,18200000.0,health8@company.vn,0980508610
L000009,2025-02-01 10:59:00,C0136,Green Solutions Co Ltd,Pharmaceutical,Binh Duong,Google Ads,MC001,P001,Product Recommendation,50-249,3,81,1,0,Under Review,180,E103,Qualified,Price,18790000.0,green9@company.vn,
L000010,10/02/2025 09:06,C0027,Asia Clean Vietnam,Electronics,TP.HCM,google ppc,MC001,P001,Distributor Inquiry,50-249,3,100,1,1,Approved,30,E102,Quoted,No Budget,5350000.0,asia10@company.vn,0933752376
L000011,2025-02-12 10:21:00,C0038,Solutions Manufacturing Co Ltd,Medical Device,Ho Chi Minh City,Google Ads,MC001,P001,Price Request,250-999,3,60,0,0,Under Review,90,E102,Disqualified,No Response,32120000.0,solutions11@company.vn,0966510276
L000012,2025-02-19 14:07:00,C0075,Nova Electronics Vietnam,Laboratory,Dong Nai,Google Ads,MC001,P001,Sample Request,10-49,2,72,0,0,Under Review,60,E101,Disqualified,Outside Scope,15240000.0,nova12@company.vn,0941480231
L000013,2025-03-03 13:54:00,C0002,Scientific Advanced Vietnam,Food & Beverage,Ha Noi,Google Ads,MC001,P024,Distributor Inquiry,1000+,3,96,0,0,Unknown,14,E101,Won,,245580000.0,scientific13@company.vn,0972801190
L000014,2025-03-06 11:26:00,C0054,Clean Scientific Factory,Electronics,Dong Nai,Google Ads,MC001,P001,Product Recommendation,250-999,7,61,0,0,No Budget,7,E103,Disqualified,No Response,16980000.0,clean14@company.vn,
L000015,2025-03-10 09:33:00,C0001,Green Asia Vietnam,Food & Beverage,Ho Chi Minh City,Google Ads,MC001,P001,Price Request,50-249,3,86,1,1,No Budget,60,E103,Disqualified,No Budget,23130000.0,green15@company.vn,0945067452
L000016,2025-03-11 10:15:00,C0002,Scientific Advanced Vietnam,Food & Beverage,Ha Noi,Google Ads,MC001,P002,Sample Request,1000+,2,77,1,0,Approved,180,E102,Qualified,Lead Time,30360000.0,scientific16@company.vn,0916155376
L000017,2025-03-15 16:23:00,C0002,Scientific Advanced Vietnam,F&B,Ha Noi,Google Ads,MC001,P014,Distributor Inquiry,1000+,3,90,0,0,Under Review,60,E102,Quoted,Specification,8320000.0,scientific17@company.vn,0930698288
L000018,2025-03-19 09:40:00,C0014,Clean Health Vietnam,Pharmaceutical,Bac Ninh,Google Ads,MC001,P020,Sample Request,50-249,2,70,1,0,Unknown,7,E102,Qualified,Price,4370000.0,clean18@company.vn,0957421938
L000019,2025-03-20 10:12:00,C0022,Bio Green Factory,Electronics,HA NOI,Google Ads,MC001,P008,Product Recommendation,50-249,4,66,0,0,Unknown,90,E101,Disqualified,No Budget,20530000.0,bio19@company.vn,0990703604
L000020,2025-03-24 08:22:00,C0002,Scientific Advanced Vietnam,Food & Beverage,Ha Noi,google ppc,MC001,P007,Price Request,1000+,1,61,1,1,Under Review,14,E103,Disqualified,No Budget,10370000.0,scientific20@company.vn,0962439076
L000021,2025-04-01 16:46:00,C0081,Bio Precision Co Ltd,Electronics,Binh Duong,Google Ads,MC001,P001,Technical Inquiry,250-999,2,81,0,0,Under Review,30,E101,Quoted,No Budget,7620000.0,bio21@company.vn,0976162178
L000022,2025-04-02 17:30:00,C0001,Green Asia Vietnam,Food & Beverage,Ho Chi Minh City,Google Ads,MC001,P003,Distributor Inquiry,50-249,1,50,0,0,Under Review,60,E103,Disqualified,No Budget,13750000.0,green22@company.vn,0913560959
L000023,2025-04-02 15:25:00,C0030,Solutions Bio Vietnam,Medical Device,Long An,Google Ads,MC001,P001,Distributor Inquiry,10-49,4,67,0,0,Approved,7,E101,Disqualified,No Budget,22080000.0,solutions23@company.vn,0986371088
L000024,2025-04-03 13:36:00,,Vietnam Green Vietnam,Medical Device,hochiminh city,Google Ads,MC001,P001,Distributor Inquiry,10-49,1,58,0,0,Approved,30,E102,Quoted,No Response,23440000.0,vietnam24@company.vn,0953386332
L000025,2025-04-09 11:44:00,C0003,Vietnam Green Vietnam,Medical Device,Ho Chi Minh,Google Ads,MC001,P002,Distributor Inquiry,10-49,4,62,0,1,Unknown,60,E102,Disqualified,No Budget,23690000.0,vietnam25@company.vn,0943821845
L000026,2025-04-09 09:59:00,C0012,Industrial Solutions JSC,Distributor,Ho Chi Minh City,Google Ads,MC001,P001,Technical Inquiry,50-249,5,38,1,0,No Budget,7,E101,Won,,17170000.0,industrial26@company.vn,0916332990
L000027,2025-04-21 15:48:00,C0078,Manufacturing Pharma Vietnam,Electronics,Ho Chi Minh City,Google Ads,MC001,P001,Product Recommendation,250-999,1,79,0,0,Unknown,14,E103,Won,No Budget,17840000.0,manufacturing27@company.vn,0910254256
L000028,2025-04-22 09:25:00,C0008,Clean Electronics Vietnam,Pharmaceutical,Binh Duong,GAds,MC001,P010,Product Recommendation,50-249,3,69,0,1,Unknown,90,E101,Disqualified,No Response,11700000.0,clean28@company.vn,0911684262
L000029,2025-04-24 13:32:00,C0053,Health Lab JSC,Pharmaceutical,Bac Ninh,Google Ads,MC001,P012,Product Recommendation,10-49,2,72,0,0,Under Review,180,E102,Disqualified,No Budget,11150000.0,health29@company.vn,0915567898
L000030,2025-04-28 09:54:00,C0001,Green Asia Vietnam,Food & Beverage,Ho Chi Minh City,Google Ads,MC001,P001,Price Request,50-249,1,56,0,0,Unknown,60,E102,Quoted,Competitor,13850000.0,green30@company.vn,
L000031,2025-04-30 11:20:00,C0014,Clean Health Vietnam,Pharmaceutical,Bac Ninh,Google Ads,MC001,P007,Product Recommendation,50-249,2,67,1,1,Under Review,7,E102,Won,,1320000.0,clean31@company.vn,0987041812
L000032,2025-05-01 09:34:00,C0017,Advanced Vietnam Co Ltd,Medical Device,Dong Nai,Google Ads,MC001,P006,Price Request,50-249,2,59,0,0,Approved,60,E103,Won,,33750000.0,advanced32@company.vn,0956043190
L000033,2025-05-03 10:11:00,C0012,Industrial Solutions JSC,Trading Company,Ho Chi Minh City,Google Ads,MC001,P025,Price Request,50-249,1,86,0,0,Unknown,30,E102,Disqualified,Not ICP,158420000.0,industrial33@company.vn,
L000034,2025-05-05 11:10:00,C0086,Clean Vietnam JSC,Medical Device,Binh Duong,Google Ads,MC001,P002,Sample Request,50-249,2,63,0,0,Under Review,30,E101,Quoted,Specification,10420000.0,clean34@company.vn,0918646811
L000035,2025-05-09 15:12:00,C0138,Bio Advanced Vietnam,Pharmaceutical,HA NOI,google ppc,MC001,P001,Stock Check,50-249,3,89,1,0,Approved,60,E103,Disqualified,Outside Scope,14790000.0,bio35@company.vn,0944866536
L000036,2025-05-16 11:25:00,C0034,Green Lab Co Ltd,Medical Device,Da Nang,Google Ads,MC001,P001,Stock Check,50-249,4,58,0,0,Under Review,30,E103,Disqualified,Not ICP,32190000.0,green36@company.vn,0966454687
L000037,2025-06-03 10:47:00,C0056,Med Scientific Factory,laboratory,Binh Duong,Google Ads,MC001,P005,Product Recommendation,1000+,2,74,0,0,Approved,30,E101,Disqualified,Not ICP,35880000.0,med37@company.vn,0987253059
L000038,2025-06-05 12:25:00,C0085,Health Med Vietnam,Electronics,Dong Nai,Google Ads,MC001,P001,Product Recommendation,1000+,4,73,0,0,Approved,30,E101,Disqualified,No Budget,44790000.0,health38@company.vn,0930324708
L000039,2025-06-07 08:28:00,C0016,Lab Advanced Co Ltd,Food and Beverage,Dong Nai,Google Ads,MC001,P002,Price Request,50-249,1,79,0,1,Unknown,7,E103,Disqualified,No Response,16760000.0,lab39@company.vn,0947977122
L000040,2025-06-13 17:04:00,,Solutions Bio Factory,Electronics,Ho Chi Minh City,Google ads,MC001,P007,Price Request,50-249,2,40,0,1,Approved,30,E101,Disqualified,No Response,2320000.0,solutions40@company.vn,0970510904
L000041,2025-06-22 17:09:00,C0022,Bio Green Factory,Electronics,Ha Noi,Google Ads,MC001,P013,Technical Inquiry,50-249,7,50,1,1,Under Review,30,E101,Quoted,No Budget,7780000.0,bio41@company.vn,0976639016
L000042,2025-06-24 16:22:00,C0013,Green Bio Vietnam,Trading Company,Binh Duong,Google Ads,MC001,P024,Product Recommendation,1000+,2,66,1,1,No Budget,30,E103,Disqualified,No Budget,155120000.0,green42@company.vn,0984614108
L000043,2025-06-28 17:35:00,C0066,Lab Green Factory,Trading Company,Binh Duong,Google Ads,MC001,P027,Price Request,250-999,4,64,0,0,Approved,90,E102,Disqualified,No Response,30260000.0,lab43@company.vn,0963173006
L000044,2025-07-02 12:26:00,C0102,Med Med Factory,Laboratory,Ha Noi,Google Ads,MC001,P024,Distributor Inquiry,10-49,1,92,0,0,Approved,180,E103,Won,,23380000.0,med44@company.vn,0934416278
L000045,2025-07-21 13:52:00,C0025,Vietnam Precision Factory,Medical Device,Ho Chi Minh City,Google Ads,MC001,P001,Technical Inquiry,10-49,1,76,0,0,Unknown,14,E102,Qualified,Lead Time,15300000.0,vietnam45@company.vn,0964473882
L000046,2025-08-17 13:58:00,C0005,Med Asia Vietnam,Industrial Manufacturing,Ho Chi Minh City,Google Ads,MC001,P006,Stock Check,10-49,2,79,0,0,Unknown,60,E102,Quoted,Project Delayed,3300000.0,med46@company.vn,0963473966
L000047,2025-08-25 14:25:00,C0106, Vietnam Bio JSC  ,Pharmaceutical,Ho Chi Minh City,Google Ads,MC001,P006,Technical Inquiry,50-249,2,60,0,0,Under Review,14,E101,Disqualified,No Budget,22830000.0,vietnam47@company.vn,0980963106
